,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
3IVX,1.73,X-RAY DIFFRACTION,10.1002/ANIE.200903821,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",19780086,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,02-SEP-09,"['GOL', 'EOH', 'EDO', 'FG6']"
3KGF,2.0,X-RAY DIFFRACTION,10.1074/JBC.M110.111856,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",20667835,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,29-OCT-09,"['GOL', 'CL', 'PO4', 'SO4', 'TRP', 'MN', 'PHE']"
3L21,2.1,X-RAY DIFFRACTION,,"{'A': ['P9WP25'], 'C': ['P9WP25'], 'B': ['P9WP25'], 'E': ['P9WP25'], 'D': ['P9WP25'], 'F': ['P9WP25']}","['F', 'A', 'C', 'B', 'E', 'D']",,"[('F', ['4.2.1.52']), ('A', ['4.2.1.52']), ('C', ['4.2.1.52']), ('B', ['4.2.1.52']), ('E', ['4.2.1.52']), ('D', ['4.2.1.52'])]",P 41 21 2,14-DEC-09,"['CME', 'ACT', 'GOL', 'CL', 'SO4', 'KPI', 'PYR', 'BME']"
3L60,2.0,X-RAY DIFFRACTION,,{'A': ['O06159']},['A'],,"[('A', ['2.3.1.12'])]",I 2 3,22-DEC-09,['UNL']
3LCJ,2.1,X-RAY DIFFRACTION,10.1134/S1063774510060234,{'A': ['P9WPA5']},['A'],,"[('A', ['2.7.7.3'])]",H 3 2,11-JAN-10,['COA']
3LE8,1.7,X-RAY DIFFRACTION,10.1021/JA100595U,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",20232910,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,14-JAN-10,"['GOL', 'EOH', 'EDO', '2B5']"
3LOG,1.73,X-RAY DIFFRACTION,10.1002/CMDC.201000137,"{'A': ['P9WFX1'], 'C': ['P9WFX1'], 'B': ['P9WFX1'], 'D': ['P9WFX1']}","['A', 'C', 'B', 'D']",20512795,"[('A', ['5.4.4.2', '4.1.3.-']), ('C', ['5.4.4.2', '4.1.3.-']), ('B', ['5.4.4.2', '4.1.3.-']), ('D', ['5.4.4.2', '4.1.3.-'])]",P 1 21 1,03-FEB-10,"['SIN', 'NA', 'GOL', 'CO3']"
3LOJ,1.25,X-RAY DIFFRACTION,10.1093/NAR/GKQ584,{'A': ['P9WNS5']},['A'],20601405,"[('A', ['3.6.1.23'])]",P 63,04-FEB-10,"['GOL', 'MG', 'MN', 'DUP', 'TRS']"
3LP6,1.7,X-RAY DIFFRACTION,,"{'A': ['P9WHM1'], 'C': ['P9WHM1'], 'B': ['P9WHM1'], 'D': ['P9WHM1']}","['A', 'C', 'B', 'D']",,"[('A', ['4.1.1.21']), ('C', ['4.1.1.21']), ('B', ['4.1.1.21']), ('D', ['4.1.1.21'])]",P 42 21 2,04-FEB-10,"['GOL', 'FMT']"
3LV2,2.18,X-RAY DIFFRACTION,10.1021/BI902097J,"{'A': ['P9WQ81'], 'B': ['P9WQ81']}","['A', 'B']",20565114,"[('A', ['2.6.1.62']), ('B', ['2.6.1.62'])]",P 21 21 21,19-FEB-10,"['PLP', 'SFG']"
3LWB,2.1,X-RAY DIFFRACTION,10.1128/AAC.00558-10,"{'A': ['P9WP31'], 'B': ['P9WP31']}","['A', 'B']",20956591,"[('A', ['6.3.2.4']), ('B', ['6.3.2.4'])]",P 1 21 1,23-FEB-10,['NO3']
3N59,2.52,X-RAY DIFFRACTION,10.1042/BJ20110002,"{'A': ['P9WPX7'], 'C': ['P9WPX7'], 'B': ['P9WPX7'], 'E': ['P9WPX7'], 'D': ['P9WPX7'], 'G': ['P9WPX7'], 'F': ['P9WPX7'], 'I': ['P9WPX7'], 'H': ['P9WPX7'], 'K': ['P9WPX7'], 'J': ['P9WPX7'], 'M': ['P9WPX7'], 'L': ['P9WPX7'], 'O': ['P9WPX7'], 'N': ['P9WPX7'], 'Q': ['P9WPX7'], 'P': ['P9WPX7'], 'S': ['P9WPX7'], 'R': ['P9WPX7'], 'U': ['P9WPX7'], 'T': ['P9WPX7'], 'W': ['P9WPX7'], 'V': ['P9WPX7'], 'X': ['P9WPX7']}","['V', 'F', 'A', 'C', 'B', 'E', 'D', 'G', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'S', 'T']",21410435,"[('V', ['4.2.1.10']), ('F', ['4.2.1.10']), ('A', ['4.2.1.10']), ('C', ['4.2.1.10']), ('B', ['4.2.1.10']), ('E', ['4.2.1.10']), ('D', ['4.2.1.10']), ('G', ['4.2.1.10']), ('I', ['4.2.1.10']), ('H', ['4.2.1.10']), ('K', ['4.2.1.10']), ('J', ['4.2.1.10']), ('M', ['4.2.1.10']), ('L', ['4.2.1.10']), ('O', ['4.2.1.10']), ('N', ['4.2.1.10']), ('Q', ['4.2.1.10']), ('P', ['4.2.1.10']), ('R', ['4.2.1.10']), ('U', ['4.2.1.10']), ('W', ['4.2.1.10']), ('X', ['4.2.1.10']), ('S', ['4.2.1.10']), ('T', ['4.2.1.10'])]",P 1 21 1,24-MAY-10,"['3DS', 'CL']"
3N76,1.9,X-RAY DIFFRACTION,10.1042/BJ20110002,{'A': ['P9WPX7']},['A'],21410435,"[('A', ['4.2.1.10'])]",F 2 3,26-MAY-10,['CA2']
3N7A,2.0,X-RAY DIFFRACTION,10.1042/BJ20110002,"{'A': ['P9WPX7'], 'C': ['P9WPX7'], 'B': ['P9WPX7'], 'E': ['P9WPX7'], 'D': ['P9WPX7'], 'G': ['P9WPX7'], 'F': ['P9WPX7'], 'I': ['P9WPX7'], 'H': ['P9WPX7'], 'K': ['P9WPX7'], 'J': ['P9WPX7'], 'M': ['P9WPX7'], 'L': ['P9WPX7'], 'O': ['P9WPX7'], 'N': ['P9WPX7'], 'Q': ['P9WPX7'], 'P': ['P9WPX7'], 'S': ['P9WPX7'], 'R': ['P9WPX7'], 'U': ['P9WPX7'], 'T': ['P9WPX7'], 'W': ['P9WPX7'], 'V': ['P9WPX7'], 'X': ['P9WPX7']}","['V', 'A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'J', 'S', 'T']",21410435,"[('V', ['4.2.1.10']), ('A', ['4.2.1.10']), ('C', ['4.2.1.10']), ('B', ['4.2.1.10']), ('E', ['4.2.1.10']), ('D', ['4.2.1.10']), ('G', ['4.2.1.10']), ('F', ['4.2.1.10']), ('I', ['4.2.1.10']), ('H', ['4.2.1.10']), ('K', ['4.2.1.10']), ('M', ['4.2.1.10']), ('L', ['4.2.1.10']), ('O', ['4.2.1.10']), ('N', ['4.2.1.10']), ('Q', ['4.2.1.10']), ('P', ['4.2.1.10']), ('R', ['4.2.1.10']), ('U', ['4.2.1.10']), ('W', ['4.2.1.10']), ('X', ['4.2.1.10']), ('J', ['4.2.1.10']), ('S', ['4.2.1.10']), ('T', ['4.2.1.10'])]",P 1,26-MAY-10,"['GOL', 'FA1']"
3N86,1.9,X-RAY DIFFRACTION,10.1042/BJ20110002,"{'A': ['P9WPX7'], 'C': ['P9WPX7'], 'B': ['P9WPX7'], 'E': ['P9WPX7'], 'D': ['P9WPX7'], 'G': ['P9WPX7'], 'F': ['P9WPX7'], 'I': ['P9WPX7'], 'H': ['P9WPX7'], 'K': ['P9WPX7'], 'J': ['P9WPX7'], 'M': ['P9WPX7'], 'L': ['P9WPX7'], 'O': ['P9WPX7'], 'N': ['P9WPX7'], 'Q': ['P9WPX7'], 'P': ['P9WPX7'], 'S': ['P9WPX7'], 'R': ['P9WPX7'], 'U': ['P9WPX7'], 'T': ['P9WPX7'], 'W': ['P9WPX7'], 'V': ['P9WPX7'], 'X': ['P9WPX7']}","['V', 'A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'S', 'T']",21410435,,P 1 21 1,27-MAY-10,['RJP']
3N87,2.4,X-RAY DIFFRACTION,10.1042/BJ20110002,"{'A': ['P9WPX7'], 'C': ['P9WPX7'], 'B': ['P9WPX7'], 'E': ['P9WPX7'], 'D': ['P9WPX7'], 'G': ['P9WPX7'], 'F': ['P9WPX7'], 'I': ['P9WPX7'], 'H': ['P9WPX7'], 'K': ['P9WPX7'], 'J': ['P9WPX7'], 'M': ['P9WPX7'], 'L': ['P9WPX7'], 'O': ['P9WPX7'], 'N': ['P9WPX7'], 'Q': ['P9WPX7'], 'P': ['P9WPX7'], 'S': ['P9WPX7'], 'R': ['P9WPX7'], 'U': ['P9WPX7'], 'T': ['P9WPX7'], 'W': ['P9WPX7'], 'V': ['P9WPX7'], 'X': ['P9WPX7']}","['V', 'C', 'A', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'S', 'T']",21410435,"[('V', ['4.2.1.10']), ('C', ['4.2.1.10']), ('A', ['4.2.1.10']), ('B', ['4.2.1.10']), ('E', ['4.2.1.10']), ('D', ['4.2.1.10']), ('G', ['4.2.1.10']), ('F', ['4.2.1.10']), ('I', ['4.2.1.10']), ('H', ['4.2.1.10']), ('K', ['4.2.1.10']), ('J', ['4.2.1.10']), ('M', ['4.2.1.10']), ('L', ['4.2.1.10']), ('O', ['4.2.1.10']), ('N', ['4.2.1.10']), ('Q', ['4.2.1.10']), ('P', ['4.2.1.10']), ('R', ['4.2.1.10']), ('U', ['4.2.1.10']), ('W', ['4.2.1.10']), ('X', ['4.2.1.10']), ('S', ['4.2.1.10']), ('T', ['4.2.1.10'])]",P 1,27-MAY-10,['N87']
3N8K,2.25,X-RAY DIFFRACTION,10.1042/BJ20110002,"{'A': ['P9WPX7'], 'C': ['P9WPX7'], 'B': ['P9WPX7'], 'E': ['P9WPX7'], 'D': ['P9WPX7'], 'G': ['P9WPX7'], 'F': ['P9WPX7'], 'I': ['P9WPX7'], 'H': ['P9WPX7'], 'K': ['P9WPX7'], 'J': ['P9WPX7'], 'M': ['P9WPX7'], 'L': ['P9WPX7'], 'O': ['P9WPX7'], 'N': ['P9WPX7'], 'Q': ['P9WPX7'], 'P': ['P9WPX7'], 'S': ['P9WPX7'], 'R': ['P9WPX7'], 'U': ['P9WPX7'], 'T': ['P9WPX7'], 'W': ['P9WPX7'], 'V': ['P9WPX7'], 'X': ['P9WPX7']}","['V', 'F', 'A', 'C', 'B', 'E', 'D', 'G', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'W', 'X', 'S', 'T']",21410435,"[('V', ['4.2.1.10']), ('F', ['4.2.1.10']), ('A', ['4.2.1.10']), ('C', ['4.2.1.10']), ('B', ['4.2.1.10']), ('E', ['4.2.1.10']), ('D', ['4.2.1.10']), ('G', ['4.2.1.10']), ('I', ['4.2.1.10']), ('H', ['4.2.1.10']), ('K', ['4.2.1.10']), ('J', ['4.2.1.10']), ('M', ['4.2.1.10']), ('L', ['4.2.1.10']), ('O', ['4.2.1.10']), ('N', ['4.2.1.10']), ('Q', ['4.2.1.10']), ('P', ['4.2.1.10']), ('R', ['4.2.1.10']), ('U', ['4.2.1.10']), ('W', ['4.2.1.10']), ('X', ['4.2.1.10']), ('S', ['4.2.1.10']), ('T', ['4.2.1.10'])]",P 1 21 1,28-MAY-10,"['CL', 'D1X']"
3N8N,2.5,X-RAY DIFFRACTION,10.1042/BJ20110002,"{'A': ['P9WPX7'], 'C': ['P9WPX7'], 'B': ['P9WPX7'], 'E': ['P9WPX7'], 'D': ['P9WPX7'], 'G': ['P9WPX7'], 'F': ['P9WPX7'], 'I': ['P9WPX7'], 'H': ['P9WPX7'], 'K': ['P9WPX7'], 'J': ['P9WPX7'], 'M': ['P9WPX7'], 'L': ['P9WPX7'], 'O': ['P9WPX7'], 'N': ['P9WPX7'], 'Q': ['P9WPX7'], 'P': ['P9WPX7'], 'S': ['P9WPX7'], 'R': ['P9WPX7'], 'U': ['P9WPX7'], 'T': ['P9WPX7'], 'W': ['P9WPX7'], 'V': ['P9WPX7'], 'X': ['P9WPX7']}","['V', 'A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'O', 'L', 'Q', 'P', 'R', 'U', 'W', 'X', 'N', 'S', 'T']",21410435,"[('V', ['4.2.1.10']), ('A', ['4.2.1.10']), ('C', ['4.2.1.10']), ('B', ['4.2.1.10']), ('E', ['4.2.1.10']), ('D', ['4.2.1.10']), ('G', ['4.2.1.10']), ('F', ['4.2.1.10']), ('I', ['4.2.1.10']), ('H', ['4.2.1.10']), ('K', ['4.2.1.10']), ('J', ['4.2.1.10']), ('M', ['4.2.1.10']), ('O', ['4.2.1.10']), ('L', ['4.2.1.10']), ('Q', ['4.2.1.10']), ('P', ['4.2.1.10']), ('R', ['4.2.1.10']), ('U', ['4.2.1.10']), ('W', ['4.2.1.10']), ('X', ['4.2.1.10']), ('N', ['4.2.1.10']), ('S', ['4.2.1.10']), ('T', ['4.2.1.10'])]",P 1 21 1,28-MAY-10,['N88']
3NBA,2.68,X-RAY DIFFRACTION,10.1016/J.JMB.2010.09.002,"{'A': ['P9WPA5'], 'C': ['P9WPA5'], 'B': ['P9WPA5'], 'D': ['P9WPA5']}","['A', 'B', 'C', 'D']",20851704,"[('A', ['2.7.7.3']), ('B', ['2.7.7.3']), ('C', ['2.7.7.3']), ('D', ['2.7.7.3'])]",P 3 2 1,03-JUN-10,"['MG', 'APC']"
3NBK,1.58,X-RAY DIFFRACTION,10.1016/J.JMB.2010.09.002,"{'A': ['P9WPA5'], 'C': ['P9WPA5'], 'B': ['P9WPA5'], 'D': ['P9WPA5']}","['A', 'C', 'B', 'D']",20851704,"[('A', ['2.7.7.3']), ('C', ['2.7.7.3']), ('B', ['2.7.7.3']), ('D', ['2.7.7.3'])]",P 3 2 1,03-JUN-10,"['NI', 'PNS']"
3NDN,1.85,X-RAY DIFFRACTION,10.1016/J.TUBE.2014.12.003,"{'A': ['P9WGB5'], 'C': ['P9WGB5'], 'B': ['P9WGB5'], 'D': ['P9WGB5']}","['A', 'C', 'B', 'D']",25613812,"[('A', ['4.2.99.-']), ('C', ['4.2.99.-']), ('B', ['4.2.99.-']), ('D', ['4.2.99.-'])]",P 1 21 1,07-JUN-10,['LLP']
3NE1,2.51,X-RAY DIFFRACTION,10.1107/S0907444911020221,"{'A': ['P9WQD3'], 'C': ['P9WQD3'], 'B': ['P9WQD3']}","['A', 'C', 'B']",21697604,"[('A', ['2.7.8.7']), ('C', ['2.7.8.7']), ('B', ['2.7.8.7'])]",I 2 2 2,08-JUN-10,['SO4']
3NE3,1.9,X-RAY DIFFRACTION,10.1107/S0907444911020221,{'B': ['P9WQD3']},['B'],21697604,"[('B', ['2.7.8.7'])]",H 3,08-JUN-10,
3NO9,2.48,X-RAY DIFFRACTION,,"{'A': ['P9WN93'], 'C': ['P9WN93'], 'B': ['P9WN93'], 'D': ['P9WN93']}","['A', 'C', 'B', 'D']",,"[('A', ['4.2.1.2']), ('C', ['4.2.1.2']), ('B', ['4.2.1.2']), ('D', ['4.2.1.2'])]",C 1 2 1,25-JUN-10,
3NUD,3.0,X-RAY DIFFRACTION,10.1074/JBC.M110.111856,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",20667835,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,06-JUL-10,"['PHE', 'PO4']"
3NUE,2.5,X-RAY DIFFRACTION,10.1074/JBC.M110.111856,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",20667835,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,06-JUL-10,"['GOL', 'CL', 'PO4', 'SO4', 'CE1', 'TRP', 'MN']"
3NV8,2.25,X-RAY DIFFRACTION,10.1074/JBC.M110.111856,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",20667835,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,08-JUL-10,"['PEP', 'GOL', 'CL', 'PO4', 'SO4', 'MN']"
3NWY,2.54,X-RAY DIFFRACTION,10.1093/NAR/GKQ1250,"{'A': ['P9WHK5'], 'C': ['P9WHK5'], 'B': ['P9WHK5'], 'E': ['P9WHK5'], 'D': ['P9WHK5'], 'F': ['P9WHK5']}","['A', 'C', 'B', 'E', 'D', 'F']",21149268,"[('A', ['2.7.4.22']), ('C', ['2.7.4.22']), ('B', ['2.7.4.22']), ('E', ['2.7.4.22']), ('D', ['2.7.4.22']), ('F', ['2.7.4.22'])]",P 21 21 2,12-JUL-10,"['GTP', 'UDP']"
3O63,2.35,X-RAY DIFFRACTION,,"{'A': ['P9WG75'], 'B': ['P9WG75']}","['A', 'B']",,"[('A', ['2.5.1.3']), ('B', ['2.5.1.3'])]",C 2 2 21,28-JUL-10,['PO4']
3OEW,2.2,X-RAY DIFFRACTION,10.1111/J.1365-2958.2010.07446.X,{'A': ['P9WGR1']},['A'],21143326,"[('A', ['1.3.1.9'])]",P 62 2 2,13-AUG-10,"['MPD', 'NAD']"
3OEY,2.0,X-RAY DIFFRACTION,10.1111/J.1365-2958.2010.07446.X,{'A': ['P9WGR1']},['A'],21143326,"[('A', ['1.3.1.9'])]",P 62 2 2,13-AUG-10,"['MPD', 'NAD']"
3OF2,2.0,X-RAY DIFFRACTION,10.1111/J.1365-2958.2010.07446.X,{'A': ['P9WGR1']},['A'],21143326,"[('A', ['1.3.1.9'])]",P 62 2 2,13-AUG-10,"['MPD', 'NAD']"
3OKR,2.4,X-RAY DIFFRACTION,,"{'A': ['P9WKG9'], 'C': ['P9WKG9'], 'B': ['P9WKG9'], 'D': ['P9WKG9'], 'F': ['PDB-F']}","['A', 'C', 'B', 'F', 'D']",,"[('A', ['2.7.7.60']), ('C', ['2.7.7.60']), ('B', ['2.7.7.60']), ('D', ['2.7.7.60'])]",P 1,25-AUG-10,
3PFP,2.35,X-RAY DIFFRACTION,10.1074/JBC.M110.211649,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",21454647,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,28-OCT-10,"['036', '035', 'CL', 'SO4', 'MN']"
3PNB,2.11,X-RAY DIFFRACTION,10.1107/S1744309111010761,"{'A': ['P9WPA5'], 'C': ['P9WPA5'], 'B': ['P9WPA5'], 'D': ['P9WPA5']}","['A', 'C', 'B', 'D']",21543857,"[('A', ['2.7.7.3']), ('C', ['2.7.7.3']), ('B', ['2.7.7.3']), ('D', ['2.7.7.3'])]",P 3 2 1,18-NOV-10,['COA']
3PNV,1.95,X-RAY DIFFRACTION,,"{'A': ['P9WFV9'], 'B': ['P9WFV9']}","['A', 'B']",,"[('A', ['6.1.1.17']), ('B', ['6.1.1.17'])]",P 1 21 1,19-NOV-10,
3PNY,1.7,X-RAY DIFFRACTION,,"{'A': ['P9WFV9'], 'B': ['P9WFV9']}","['A', 'B']",,"[('A', ['6.1.1.17']), ('B', ['6.1.1.17'])]",P 1 21 1,20-NOV-10,
3PTY,2.0,X-RAY DIFFRACTION,10.1371/JOURNAL.PPAT.1001299,{'A': ['P9WNL5']},['A'],21383969,"[('A', ['2.4.2.-'])]",P 65 2 2,03-DEC-10,"['AFO', 'PO4', 'CA']"
3PYD,2.1,X-RAY DIFFRACTION,,{'A': ['P9WKG7']},['A'],,"[('A', ['2.7.1.148'])]",P 21 21 21,13-DEC-10,['GOL']
3PYE,2.0,X-RAY DIFFRACTION,,{'A': ['P9WKG7']},['A'],,"[('A', ['2.7.1.148'])]",P 21 21 21,13-DEC-10,['CDM']
3PYF,1.7,X-RAY DIFFRACTION,,{'A': ['P9WKG7']},['A'],,"[('A', ['2.7.1.148'])]",P 21 21 21,13-DEC-10,['ANP']
3PYG,1.99,X-RAY DIFFRACTION,,{'A': ['P9WKG7']},['A'],,"[('A', ['2.7.1.148'])]",P 21 21 21,13-DEC-10,['ADP']
3Q7U,2.1,X-RAY DIFFRACTION,,"{'A': ['P9WKG9'], 'B': ['P9WKG9']}","['A', 'B']",,"[('A', ['2.7.7.60']), ('B', ['2.7.7.60'])]",P 21 21 21,05-JAN-11,"['MG', 'CTP']"
3Q80,2.0,X-RAY DIFFRACTION,,"{'A': ['P9WKG9'], 'B': ['P9WKG9']}","['A', 'B']",,"[('A', ['2.7.7.60']), ('B', ['2.7.7.60'])]",P 21 21 21,05-JAN-11,"['MG', 'CL', 'CDM']"
3QBD,2.47,X-RAY DIFFRACTION,,"{'A': ['P9WPX9'], 'B': ['P9WPX9']}","['A', 'B']",,"[('A', ['4.2.3.4']), ('B', ['4.2.3.4'])]",P 43,13-JAN-11,['NAD']
3QBE,2.07,X-RAY DIFFRACTION,,{'A': ['P9WPX9']},['A'],,"[('A', ['4.2.3.4'])]",I 41,13-JAN-11,"['ZN', 'CL']"
3QJ7,2.5,X-RAY DIFFRACTION,,"{'A': ['P9WFR9'], 'C': ['P9WFR9'], 'B': ['P9WFR9'], 'D': ['P9WFR9']}","['A', 'C', 'B', 'D']",,"[('A', ['2.1.1.45']), ('C', ['2.1.1.45']), ('B', ['2.1.1.45']), ('D', ['2.1.1.45'])]",C 1 2 1,28-JAN-11,"['UMP', 'SPM']"
3QJA,1.29,X-RAY DIFFRACTION,,{'A': ['P9WFX7']},['A'],,"[('A', ['4.1.1.48'])]",P 21 21 21,28-JAN-11,['SO4']
3QQS,1.97,X-RAY DIFFRACTION,10.1021/BI301387M,"{'A': ['P9WFX5'], 'C': ['P9WFX5'], 'B': ['P9WFX5'], 'D': ['P9WFX5']}","['A', 'C', 'B', 'D']",23363292,"[('A', ['2.4.2.18']), ('C', ['2.4.2.18']), ('B', ['2.4.2.18']), ('D', ['2.4.2.18'])]",P 1 21 1,16-FEB-11,"['DPO', 'PRP', 'MG', '17C']"
3QR9,1.87,X-RAY DIFFRACTION,10.1021/BI301387M,"{'A': ['P9WFX5'], 'B': ['P9WFX5']}","['A', 'B']",23363292,"[('A', ['2.4.2.18']), ('B', ['2.4.2.18'])]",P 21 21 21,17-FEB-11,['GOL']
3QS8,2.0,X-RAY DIFFRACTION,10.1021/BI301387M,"{'A': ['P9WFX5'], 'C': ['P9WFX5'], 'B': ['P9WFX5'], 'D': ['P9WFX5']}","['A', 'C', 'B', 'D']",23363292,"[('A', ['2.4.2.18']), ('C', ['2.4.2.18']), ('B', ['2.4.2.18']), ('D', ['2.4.2.18'])]",P 1 21 1,20-FEB-11,"['PRP', 'MG', '17D']"
3QSA,2.18,X-RAY DIFFRACTION,,"{'A': ['P9WFX5'], 'B': ['P9WFX5']}","['A', 'B']",,"[('A', ['2.4.2.18']), ('B', ['2.4.2.18'])]",P 21 21 21,20-FEB-11,"['PRP', 'MG', 'TA7']"
3R6C,1.83,X-RAY DIFFRACTION,10.1021/BI301387M,"{'A': ['P9WFX5'], 'B': ['P9WFX5']}","['B', 'A']",23363292,"[('B', ['2.4.2.18']), ('A', ['2.4.2.18'])]",C 1 2 1,21-MAR-11,"['PRP', '17N', 'MG', 'GOL']"
3R88,1.73,X-RAY DIFFRACTION,10.1021/BI301387M,"{'A': ['P9WFX5'], 'B': ['P9WFX5']}","['B', 'A']",23363292,"[('B', ['2.4.2.18']), ('A', ['2.4.2.18'])]",C 1 2 1,23-MAR-11,"['PRP', 'GOL', 'MG', '14F']"
3RAS,2.55,X-RAY DIFFRACTION,10.1021/JM200363D,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",21561155,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,28-MAR-11,"['FM5', 'DCV', 'SO4', 'NDP', 'MN']"
3RBA,1.59,X-RAY DIFFRACTION,,{'A': ['P9WPA5']},['A'],,"[('A', ['2.7.7.3'])]",H 3 2,29-MAR-11,['COD']
3RFF,1.76,X-RAY DIFFRACTION,,{'A': ['P9WPA5']},['A'],,"[('A', ['2.7.7.3'])]",H 3 2,06-APR-11,
3RHS,1.59,X-RAY DIFFRACTION,,{'A': ['P9WPA5']},['A'],,"[('A', ['2.7.7.3'])]",H 3 2,12-APR-11,['COA']
3RIM,2.49,X-RAY DIFFRACTION,10.1098/RSOB.110026,"{'A': ['P9WG25'], 'C': ['P9WG25'], 'B': ['P9WG25'], 'D': ['P9WG25']}","['A', 'C', 'B', 'D']",22645655,"[('A', ['2.2.1.1']), ('C', ['2.2.1.1']), ('B', ['2.2.1.1']), ('D', ['2.2.1.1'])]",P 1,14-APR-11,"['GOL', 'TPP', 'MG']"
3RV6,2.04,X-RAY DIFFRACTION,10.1021/BI3002067,"{'A': ['P9WFX1'], 'B': ['P9WFX1']}","['A', 'B']",22607697,"[('A', ['4.1.3.-', '5.4.4.2']), ('B', ['4.1.3.-', '5.4.4.2'])]",P 1 21 1,06-MAY-11,"['SO4', 'MG', 'VAE', 'RVA']"
3RV7,2.5,X-RAY DIFFRACTION,10.1021/BI3002067,"{'A': ['P9WFX1'], 'C': ['P9WFX1'], 'B': ['P9WFX1'], 'D': ['P9WFX1']}","['A', 'C', 'B', 'D']",22607697,"[('A', ['4.1.3.-', '5.4.4.2']), ('C', ['4.1.3.-', '5.4.4.2']), ('B', ['4.1.3.-', '5.4.4.2']), ('D', ['4.1.3.-', '5.4.4.2'])]",P 1 21 1,06-MAY-11,['RVB']
3RV8,2.29,X-RAY DIFFRACTION,10.1021/BI3002067,"{'A': ['P9WFX1'], 'C': ['P9WFX1'], 'B': ['P9WFX1'], 'D': ['P9WFX1']}","['A', 'C', 'B', 'D']",22607697,"[('A', ['4.1.3.-', '5.4.4.2']), ('C', ['4.1.3.-', '5.4.4.2']), ('B', ['4.1.3.-', '5.4.4.2']), ('D', ['4.1.3.-', '5.4.4.2'])]",P 1 21 1,06-MAY-11,"['RVC', 'VCE']"
3RV9,2.14,X-RAY DIFFRACTION,10.1021/BI3002067,"{'A': ['P9WFX1'], 'C': ['P9WFX1'], 'B': ['P9WFX1'], 'D': ['P9WFX1']}","['A', 'C', 'B', 'D']",22607697,"[('A', ['4.1.3.-', '5.4.4.2']), ('C', ['4.1.3.-', '5.4.4.2']), ('B', ['4.1.3.-', '5.4.4.2']), ('D', ['4.1.3.-', '5.4.4.2'])]",P 1 21 1,06-MAY-11,['RVD']
3RZI,1.95,X-RAY DIFFRACTION,10.1016/J.JMB.2011.11.037,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",22154807,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,11-MAY-11,"['GOL', 'CL', 'PO4', 'SO4', 'TRP', 'MN', 'PHE']"
3S1T,1.63,X-RAY DIFFRACTION,,"{'A': ['P9WPX3'], 'C': ['P9WPX3'], 'B': ['P9WPX3']}","['A', 'C', 'B']",,"[('A', ['2.7.2.4']), ('B', ['2.7.2.4'])]",P 21 21 21,16-MAY-11,"['SO4', 'THR']"
3S9I,1.9,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2012.09.018,{'A': ['P9WK17']},['A'],23261599,"[('A', ['2.3.3.9'])]",P 43 21 2,01-JUN-11,"['MG', 'XI7']"
3S9Z,1.79,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2012.09.018,{'A': ['P9WK17']},['A'],23261599,"[('A', ['2.3.3.9'])]",P 43 21 2,02-JUN-11,"['MG', 'I92']"
