,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
1LDI,2.7,X-RAY DIFFRACTION,10.1126/SCIENCE.1067778,['BOG'],{'A': ['P0AER0']},['A'],11964478,I 4 2 2,08-APR-02,
1LI5,2.3,X-RAY DIFFRACTION,10.1093/EMBOJ/21.11.2778,['ZN'],"{'A': ['P21888'], 'B': ['P21888']}","['A', 'B']",12032090,P 41 21 2,17-APR-02,"[('A', ['6.1.1.16']), ('B', ['6.1.1.16'])]"
1LI7,2.6,X-RAY DIFFRACTION,10.1093/EMBOJ/21.11.2778,"['CYS', 'ZN']","{'A': ['P21888'], 'B': ['P21888']}","['A', 'B']",12032090,P 41 21 2,17-APR-02,"[('A', ['6.1.1.16']), ('B', ['6.1.1.16'])]"
1LKZ,2.5,X-RAY DIFFRACTION,10.1002/PROT.10203,['MSE'],"{'A': ['P0A7Z0'], 'B': ['P0A7Z0']}","['A', 'B']",12211039,C 2 2 21,26-APR-02,"[('A', ['5.3.1.6']), ('B', ['5.3.1.6'])]"
1LLS,1.8,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00739-8,['XE'],{'A': ['P0AEX9']},['A'],12217701,P 1,30-APR-02,
1LRJ,1.9,X-RAY DIFFRACTION,10.1074/JBC.M204413200,"['NAD', 'UD1', 'PGE', 'NA']",{'A': ['P09147']},['A'],12019271,P 32 2 1,15-MAY-02,"[('A', ['5.1.3.2'])]"
1LRK,1.75,X-RAY DIFFRACTION,10.1074/JBC.M204413200,"['NAD', 'UD1', 'PGE', 'NA']",{'A': ['P09147']},['A'],12019271,P 32 2 1,15-MAY-02,"[('A', ['5.1.3.2'])]"
1LRL,1.8,X-RAY DIFFRACTION,10.1074/JBC.M204413200,"['NAD', 'PGE', 'UPG', 'NA']",{'A': ['P09147']},['A'],12019271,P 32 2 1,15-MAY-02,"[('A', ['5.1.3.2'])]"
1LTM,1.7,X-RAY DIFFRACTION,,"['BCN', 'EDO', 'NA']",{'A': ['P41052']},['A'],9761817,P 21 21 21,26-SEP-97,"[('A', ['3.2.1.-'])]"
1LVN,2.4,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2004.09.031,"['TYT', 'CA', 'CU']","{'A': ['P46883'], 'B': ['P46883']}","['A', 'B']",15498552,P 21 21 21,28-MAY-02,"[('A', ['1.4.3.6']), ('B', ['1.4.3.6'])]"
1LX6,2.4,X-RAY DIFFRACTION,10.1021/JM020050+,"['NAD', 'ZAM']","{'A': ['P0AEK4'], 'B': ['P0AEK4']}","['A', 'B']",12109908,P 61 2 2,04-JUN-02,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]"
1LX7,2.0,X-RAY DIFFRACTION,10.1107/S0907444902018929,['MSE'],"{'A': ['P12758'], 'B': ['P12758']}","['A', 'B']",12499542,H 3,04-JUN-02,"[('A', ['2.4.2.3']), ('B', ['2.4.2.3'])]"
1LXA,2.6,X-RAY DIFFRACTION,,,{'A': ['P0A722']},['A'],7481807,P 21 3,07-OCT-95,"[('A', ['2.3.1.129'])]"
1LXC,2.4,X-RAY DIFFRACTION,10.1021/JM020050+,"['AYM', 'NAD']","{'A': ['P0AEK4'], 'B': ['P0AEK4']}","['A', 'B']",12109908,P 61 2 2,05-JUN-02,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]"
1LYL,2.8,X-RAY DIFFRACTION,10.1016/S0969-2126(01)00147-2,['LYS'],"{'A': ['P0A8N5'], 'C': ['P0A8N5'], 'B': ['P0A8N5']}","['A', 'C', 'B']",7735833,C 2 2 21,03-MAY-95,"[('A', ['6.1.1.6']), ('C', ['6.1.1.6']), ('B', ['6.1.1.6'])]"
1M33,1.7,X-RAY DIFFRACTION,10.1074/JBC.M303867200,"['3OH', 'EDO', 'MSE']",{'A': ['P13001']},['A'],12732651,P 43,26-JUN-02,
1M3U,1.8,X-RAY DIFFRACTION,10.1016/S0969-2126(03)00158-8,"['KPL', 'MG']","{'A': ['P31057'], 'C': ['P31057'], 'B': ['P31057'], 'E': ['P31057'], 'D': ['P31057'], 'G': ['P31057'], 'F': ['P31057'], 'I': ['P31057'], 'H': ['P31057'], 'J': ['P31057']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",12906829,P 1 21 1,30-JUN-02,"[('A', ['2.1.2.11']), ('C', ['2.1.2.11']), ('B', ['2.1.2.11']), ('E', ['2.1.2.11']), ('D', ['2.1.2.11']), ('G', ['2.1.2.11']), ('F', ['2.1.2.11']), ('I', ['2.1.2.11']), ('H', ['2.1.2.11']), ('J', ['2.1.2.11'])]"
1M41,2.3,X-RAY DIFFRACTION,10.1016/S0022-2836(02)01069-0,,"{'A': ['P80645'], 'B': ['P80645']}","['A', 'B']",12445781,C 2 2 21,02-JUL-02,"[('A', ['1.1.-.-']), ('B', ['1.1.-.-'])]"
1M5W,1.96,X-RAY DIFFRACTION,10.1021/BI026292T,"['PO4', 'DXP']","{'A': ['P0A794'], 'C': ['P0A794'], 'B': ['P0A794'], 'E': ['P0A794'], 'D': ['P0A794'], 'G': ['P0A794'], 'F': ['P0A794'], 'H': ['P0A794']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",12269807,P 21 21 21,10-JUL-02,
1M6V,2.1,X-RAY DIFFRACTION,10.1074/JBC.M206915200,"['NET', 'K', 'ADP', 'CL', 'PO4', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'F', 'A', 'C', 'B', 'E', 'D', 'H']",12130656,P 21 21 21,17-JUL-02,"[('G', ['6.3.5.5']), ('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('D', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1M7T,,SOLUTION NMR,10.1021/BI0258501,,{'A': ['P0AA25']},['A'],12135359,,22-JUL-02,
1M7X,2.3,X-RAY DIFFRACTION,10.1074/JBC.M205746200,,"{'A': ['P07762'], 'C': ['P07762'], 'B': ['P07762'], 'D': ['P07762']}","['A', 'C', 'B', 'D']",12196524,P 1 21 1,23-JUL-02,"[('A', ['2.4.1.18']), ('C', ['2.4.1.18']), ('B', ['2.4.1.18']), ('D', ['2.4.1.18'])]"
1MAL,3.1,X-RAY DIFFRACTION,,,"{'A': ['P02943'], 'C': ['P02943'], 'B': ['P02943']}","['A', 'C', 'B']",7824948,C 2 2 21,24-NOV-94,
1MBB,2.3,X-RAY DIFFRACTION,10.1021/BI952287W,"['EEB', 'FAD']",{'A': ['P08373']},['A'],8634262,P 43 21 2,07-NOV-95,"[('A', ['1.1.1.158'])]"
1MBT,3.0,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00008-1,"['SO4', 'FAD']",{'A': ['P08373']},['A'],8805513,P 21 21 21,28-NOV-95,"[('A', ['1.1.1.158'])]"
1MC3,2.6,X-RAY DIFFRACTION,10.1074/JBC.M206932200,"['MG', 'TTP', 'MSE']","{'A': ['P61887'], 'B': ['P61887']}","['A', 'B']",12171937,P 21 21 2,05-AUG-02,"[('A', ['2.7.7.24']), ('B', ['2.7.7.24'])]"
1MDP,2.3,X-RAY DIFFRACTION,10.1006/JMBI.1994.0059,['MAL'],"{'1': ['P0AEX9'], '2': ['P0AEX9']}","['1', '2']",7853407,P 1 21 1,10-AUG-94,
1MDQ,1.9,X-RAY DIFFRACTION,10.1006/JMBI.1994.0059,['MAL'],{'A': ['P0AEX9']},['A'],7853407,C 1 2 1,10-AUG-94,
1MEA,,SOLUTION NMR,10.1006/JMBI.1993.1353,['ZN'],{'A': ['P00959']},['A'],8515466,,09-NOV-92,"[('A', ['6.1.1.10'])]"
1MED,,SOLUTION NMR,10.1006/JMBI.1993.1353,['ZN'],{'A': ['P00959']},['A'],8515466,,09-NOV-92,"[('A', ['6.1.1.10'])]"
1MFP,2.33,X-RAY DIFFRACTION,10.1021/JM0204035,"['SO4', 'NAD', 'IDN']","{'A': ['P0AEK4'], 'B': ['P0AEK4']}","['A', 'B']",12699381,P 61 2 2,13-AUG-02,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]"
1MG1,2.5,X-RAY DIFFRACTION,10.1073/PNAS.96.8.4319,"['CL', 'MAL']",{'A': ['P0AEX9']},['A'],10200260,H 3,01-MAR-99,
1MGV,2.1,X-RAY DIFFRACTION,10.1021/BI026339A,"['IPA', 'PLP', 'NA']","{'A': ['P12995'], 'B': ['P12995']}","['A', 'B']",12379100,C 1 2 1,16-AUG-02,"[('A', ['2.6.1.62']), ('B', ['2.6.1.62'])]"
1MH3,2.1,X-RAY DIFFRACTION,10.1110/PS.0219103,,"{'A': ['P0AEX9', 'P0CY10']}",['A'],12538894,P 43 21 2,19-AUG-02,
1MH4,2.3,X-RAY DIFFRACTION,10.1110/PS.0219103,,"{'A': ['P0AEX9', 'P0CY10']}",['A'],12538894,P 21 21 21,19-AUG-02,
1MI4,1.7,X-RAY DIFFRACTION,10.1007/S00425-002-0908-0,"['S3P', 'FMT']",{'A': ['P0A6D3']},['A'],12430021,P 21 21 21,21-AUG-02,"[('A', ['2.5.1.19'])]"
1MJW,1.95,X-RAY DIFFRACTION,,['SO4'],"{'A': ['P0A7A9'], 'B': ['P0A7A9']}","['A', 'B']",9668207,H 3 2,08-FEB-97,"[('A', ['3.6.1.1']), ('B', ['3.6.1.1'])]"
1MJX,2.15,X-RAY DIFFRACTION,,['SO4'],"{'A': ['P0A7A9'], 'B': ['P0A7A9']}","['A', 'B']",9668207,H 3 2,08-FEB-97,"[('A', ['3.6.1.1']), ('B', ['3.6.1.1'])]"
1MJY,2.1,X-RAY DIFFRACTION,,,"{'A': ['P0A7A9'], 'B': ['P0A7A9']}","['A', 'B']",9668207,H 3 2,08-FEB-97,"[('A', ['3.6.1.1']), ('B', ['3.6.1.1'])]"
1MJZ,2.2,X-RAY DIFFRACTION,,,{'A': ['P0A7A9']},['A'],9668207,H 3 2,08-FEB-97,"[('A', ['3.6.1.1'])]"
1MKA,2.0,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00030-5,['DAC'],"{'A': ['P0A6Q3'], 'B': ['P0A6Q3']}","['A', 'B']",8805534,P 21 21 21,08-JAN-96,"[('A', ['4.2.1.60']), ('B', ['4.2.1.60'])]"
1MKB,2.0,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00030-5,,"{'A': ['P0A6Q3'], 'B': ['P0A6Q3']}","['A', 'B']",8805534,P 21 21 21,08-JAN-96,"[('A', ['4.2.1.60']), ('B', ['4.2.1.60'])]"
1MLA,1.5,X-RAY DIFFRACTION,10.1074/JBC.270.22.12961,,{'A': ['P0AAI9']},['A'],7768883,P 65,25-JAN-95,
1MLY,1.81,X-RAY DIFFRACTION,10.1074/JBC.M207239200,"['PLP', 'NA', 'ACZ']","{'A': ['P12995'], 'B': ['P12995']}","['A', 'B']",12218056,C 1 2 1,02-SEP-02,"[('A', ['2.6.1.62']), ('B', ['2.6.1.62'])]"
1MLZ,2.15,X-RAY DIFFRACTION,10.1074/JBC.M207239200,"['PLP', 'TZA', 'NA']","{'A': ['P12995'], 'B': ['P12995']}","['A', 'B']",12218056,C 1 2 1,02-SEP-02,"[('A', ['2.6.1.62']), ('B', ['2.6.1.62'])]"
1MM4,,SOLUTION NMR,10.1073/PNAS.212344499,,{'A': ['P37001']},['A'],12357033,,03-SEP-02,
1MM5,,SOLUTION NMR,10.1073/PNAS.212344499,,{'A': ['P37001']},['A'],12357033,,03-SEP-02,
1MMM,2.2,X-RAY DIFFRACTION,,"['FE', 'OH']","{'A': ['P00448'], 'B': ['P00448']}","['A', 'B']",,C 2 2 21,26-AUG-98,"[('A', ['1.15.1.1']), ('B', ['1.15.1.1'])]"
1MOQ,1.57,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00105-1,"['SO4', 'MES', 'GLP', 'MRD', 'NA']",{'A': ['P17169']},['A'],9739095,H 3 2,11-APR-97,"[('A', ['2.6.1.16'])]"
1MOR,1.9,X-RAY DIFFRACTION,,['G6P'],{'A': ['P17169']},['A'],10091662,H 3 2,12-APR-97,"[('A', ['2.6.1.16'])]"
1MOS,2.0,X-RAY DIFFRACTION,,"['SO4', 'AGP', 'MES', 'NA']",{'A': ['P17169']},['A'],10091662,H 3 2,15-JUL-98,"[('A', ['2.6.1.16'])]"
1MPB,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1996.0646,,{'A': ['P0AEX9']},['A'],8951382,P 1 21 1,25-JUL-95,
1MPC,2.1,X-RAY DIFFRACTION,10.1006/JMBI.1996.0646,,{'A': ['P0AEX9']},['A'],8951382,P 1,25-JUL-95,
1MPD,2.3,X-RAY DIFFRACTION,10.1006/JMBI.1996.0646,['MAL'],{'A': ['P0AEX9']},['A'],8951382,P 21 21 21,25-JUL-95,
1MPF,3.0,X-RAY DIFFRACTION,10.1073/PNAS.91.22.10675,['C8E'],{'A': ['P02931']},['A'],7524100,P 3 2 1,10-AUG-94,
1MPM,2.6,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00016-0,"['MG', 'BGC', 'GLC']","{'A': ['P02943'], 'C': ['P02943'], 'B': ['P02943']}","['A', 'C', 'B']",8805519,C 2 2 21,11-JAN-96,
1MPN,3.2,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00016-0,"['MG', 'GLC']","{'A': ['P02943'], 'C': ['P02943'], 'B': ['P02943']}","['A', 'B', 'C']",8805519,C 2 2 21,11-JAN-96,
1MPO,2.8,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00016-0,"['MG', 'GLC']","{'A': ['P02943'], 'C': ['P02943'], 'B': ['P02943']}","['A', 'B', 'C']",8805519,C 2 2 21,11-JAN-96,
1MPQ,3.0,X-RAY DIFFRACTION,10.1006/JMBI.1997.1224,['GLC'],"{'A': ['P02943'], 'C': ['P02943'], 'B': ['P02943']}","['A', 'C', 'B']",9299337,C 2 2 21,24-MAR-97,
1MRR,2.5,X-RAY DIFFRACTION,,"['MN', 'HG']","{'A': ['P69924'], 'B': ['P69924']}","['A', 'B']",1328209,P 21 21 21,28-JUL-92,"[('A', ['1.17.4.1']), ('B', ['1.17.4.1'])]"
1MSK,1.8,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00135-9,"['SAM', 'ACT']",{'A': ['P13009']},['A'],8939751,P 21 21 21,03-AUG-96,"[('A', ['2.1.1.13'])]"
1MUM,1.9,X-RAY DIFFRACTION,10.1016/S0022-2836(03)00358-9,['MG'],"{'A': ['P77541'], 'B': ['P77541']}","['A', 'B']",12706720,P 32 2 1,24-SEP-02,"[('A', ['4.1.3.30']), ('B', ['4.1.3.30'])]"
1MUT,,SOLUTION NMR,10.1021/BI00046A006,,{'A': ['P08337']},['A'],7578113,,14-SEP-95,"[('A', ['3.6.1.-'])]"
1MWY,,SOLUTION NMR,10.1016/S0022-2836(02)01007-0,,{'A': ['P37617']},['A'],12417201,,01-OCT-02,"[('A', ['3.6.3.3', '3.6.3.5'])]"
1MWZ,,SOLUTION NMR,10.1016/S0022-2836(02)01007-0,['ZN'],{'A': ['P37617']},['A'],12417201,,01-OCT-02,"[('A', ['3.6.3.3', '3.6.3.5'])]"
1MXA,2.8,X-RAY DIFFRACTION,10.1021/BI952604Z,"['MG', 'POP', 'PO4', 'K']",{'A': ['P0A817']},['A'],8611562,P 62 2 2,10-JAN-96,"[('A', ['2.5.1.6'])]"
1MXB,2.8,X-RAY DIFFRACTION,10.1021/BI952604Z,"['MG', 'PO4', 'ADP', 'K']",{'A': ['P0A817']},['A'],8611562,P 62 2 2,10-JAN-96,"[('A', ['2.5.1.6'])]"
1MXC,3.0,X-RAY DIFFRACTION,10.1021/BI952604Z,"['PO4', 'MG', 'ABP', 'K']",{'A': ['P0A817']},['A'],8611562,P 62 2 2,10-JAN-96,"[('A', ['2.5.1.6'])]"
1MXR,1.42,X-RAY DIFFRACTION,10.1073/PNAS.0536684100,"['GOL', 'FE', 'HG']","{'A': ['P69924'], 'B': ['P69924']}","['A', 'B']",12624184,P 21 21 21,03-OCT-02,"[('A', ['1.17.4.1']), ('B', ['1.17.4.1'])]"
1MZG,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2004.08.074,['MSE'],"{'A': ['P76194'], 'B': ['P76194']}","['A', 'B']",15522304,P 21 21 21,07-OCT-02,
1MZO,2.7,X-RAY DIFFRACTION,10.1107/S0907444902016402,"['PGE', 'PYR']","{'A': ['P09373'], 'B': ['P09373']}","['A', 'B']",12454503,P 43 21 2,09-OCT-02,"[('A', ['2.3.1.54']), ('B', ['2.3.1.54'])]"
1MZR,2.13,X-RAY DIFFRACTION,10.1002/PROT.20710,"['GOL', 'PO4']","{'A': ['Q46857'], 'B': ['Q46857']}","['A', 'B']",16284956,C 2 2 21,09-OCT-02,"[('A', ['1.1.1.-']), ('B', ['1.1.1.-'])]"
1MZS,2.1,X-RAY DIFFRACTION,10.1021/JM025571B,"['669', 'OCS', 'PO4']",{'A': ['P0A6R0']},['A'],12502353,P 41 21 2,09-OCT-02,"[('A', ['2.3.1.41'])]"
1N2Z,2.0,X-RAY DIFFRACTION,10.1073/PNAS.262659699,"['CL', 'CD', 'PG4', 'CNC']","{'A': ['P37028'], 'B': ['P37028']}","['A', 'B']",12475936,P 65,24-OCT-02,
1N3B,1.8,X-RAY DIFFRACTION,10.1110/PS.0227803,"['SO4', 'MSE']","{'A': ['P0A6I9'], 'C': ['P0A6I9'], 'B': ['P0A6I9']}","['A', 'C', 'B']",12538896,P 1 21 1,25-OCT-02,"[('A', ['2.7.1.24']), ('C', ['2.7.1.24']), ('B', ['2.7.1.24'])]"
1N3R,2.8,X-RAY DIFFRACTION,10.1016/S0022-2836(02)01303-7,['GTP'],"{'A': ['P0A6T5'], 'C': ['P0A6T5'], 'B': ['P0A6T5'], 'E': ['P0A6T5'], 'D': ['P0A6T5'], 'G': ['P0A6T5'], 'F': ['P0A6T5'], 'I': ['P0A6T5'], 'H': ['P0A6T5'], 'K': ['P0A6T5'], 'J': ['P0A6T5'], 'M': ['P0A6T5'], 'L': ['P0A6T5'], 'O': ['P0A6T5'], 'N': ['P0A6T5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N']",12559918,C 2 2 21,29-OCT-02,"[('A', ['3.5.4.16']), ('C', ['3.5.4.16']), ('B', ['3.5.4.16']), ('E', ['3.5.4.16']), ('D', ['3.5.4.16']), ('G', ['3.5.4.16']), ('F', ['3.5.4.16']), ('I', ['3.5.4.16']), ('H', ['3.5.4.16']), ('K', ['3.5.4.16']), ('J', ['3.5.4.16']), ('M', ['3.5.4.16']), ('L', ['3.5.4.16']), ('O', ['3.5.4.16']), ('N', ['3.5.4.16'])]"
1N3S,2.55,X-RAY DIFFRACTION,10.1016/S0022-2836(02)01303-7,['GTP'],"{'A': ['P0A6T5'], 'C': ['P0A6T5'], 'B': ['P0A6T5'], 'E': ['P0A6T5'], 'D': ['P0A6T5'], 'G': ['P0A6T5'], 'F': ['P0A6T5'], 'I': ['P0A6T5'], 'H': ['P0A6T5'], 'J': ['P0A6T5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",12559918,P 43 21 2,29-OCT-02,"[('A', ['3.5.4.16']), ('C', ['3.5.4.16']), ('B', ['3.5.4.16']), ('E', ['3.5.4.16']), ('D', ['3.5.4.16']), ('G', ['3.5.4.16']), ('F', ['3.5.4.16']), ('I', ['3.5.4.16']), ('H', ['3.5.4.16']), ('J', ['3.5.4.16'])]"
1N3T,3.2,X-RAY DIFFRACTION,10.1016/S0022-2836(02)01303-7,['GTP'],"{'A': ['P0A6T5'], 'C': ['P0A6T5'], 'B': ['P0A6T5'], 'E': ['P0A6T5'], 'D': ['P0A6T5'], 'G': ['P0A6T5'], 'F': ['P0A6T5'], 'I': ['P0A6T5'], 'H': ['P0A6T5'], 'K': ['P0A6T5'], 'J': ['P0A6T5'], 'M': ['P0A6T5'], 'L': ['P0A6T5'], 'O': ['P0A6T5'], 'N': ['P0A6T5']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N']",12559918,C 2 2 21,29-OCT-02,"[('A', ['3.5.4.16']), ('C', ['3.5.4.16']), ('B', ['3.5.4.16']), ('E', ['3.5.4.16']), ('D', ['3.5.4.16']), ('G', ['3.5.4.16']), ('F', ['3.5.4.16']), ('I', ['3.5.4.16']), ('H', ['3.5.4.16']), ('K', ['3.5.4.16']), ('J', ['3.5.4.16']), ('M', ['3.5.4.16']), ('L', ['3.5.4.16']), ('O', ['3.5.4.16']), ('N', ['3.5.4.16'])]"
1N3W,2.6,X-RAY DIFFRACTION,10.1074/JBC.M301004200,['MAL'],{'A': ['P0AEX9']},['A'],12794084,P 43 21 2,29-OCT-02,
1N3X,2.5,X-RAY DIFFRACTION,10.1074/JBC.M301004200,,{'A': ['P0AEX9']},['A'],12794084,P 1 21 1,29-OCT-02,
1N4A,2.0,X-RAY DIFFRACTION,10.1074/JBC.M212239200,"['MSE', 'CNC']","{'A': ['P37028'], 'B': ['P37028']}","['A', 'B']",12468528,P 21 21 2,30-OCT-02,
1N4D,3.0,X-RAY DIFFRACTION,10.1074/JBC.M212239200,['MSE'],"{'A': ['P37028'], 'B': ['P37028']}","['A', 'B']",12468528,C 2 2 21,30-OCT-02,
1N68,1.7,X-RAY DIFFRACTION,10.1074/JBC.M302963200,"['C2C', 'CU']",{'A': ['P36649']},['A'],12794077,P 1 21 1,08-NOV-02,
1N8F,1.75,X-RAY DIFFRACTION,10.1021/BI027257P,"['PEP', 'SO4', 'MN']","{'A': ['P0AB91'], 'C': ['P0AB91'], 'B': ['P0AB91'], 'D': ['P0AB91']}","['A', 'C', 'B', 'D']",12667068,C 1 2 1,20-NOV-02,"[('A', ['4.1.2.15']), ('C', ['4.1.2.15']), ('B', ['4.1.2.15']), ('D', ['4.1.2.15'])]"
1N8N,1.69,X-RAY DIFFRACTION,10.1016/J.JMB.2003.10.050,['AU3'],{'A': ['P0AE22']},['A'],14687572,I 2 2 2,21-NOV-02,"[('A', ['3.1.3.2'])]"
1N9K,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2003.10.050,"['MG', 'BR']","{'A': ['P0AE22'], 'B': ['P0AE22']}","['A', 'B']",14687572,P 21 21 2,25-NOV-02,"[('A', ['3.1.3.2']), ('B', ['3.1.3.2'])]"
1NAH,1.8,X-RAY DIFFRACTION,10.1021/BI952715Y,"['UDP', 'PEG', 'NAD', 'EDO', 'NA']",{'A': ['P09147']},['A'],8611559,P 32 2 1,22-NOV-95,"[('A', ['5.1.3.2'])]"
1NAI,2.0,X-RAY DIFFRACTION,10.1021/BI952715Y,"['UDP', 'PEG', 'NAD', 'PDO', 'NA']",{'A': ['P09147']},['A'],8611559,P 32 2 1,22-NOV-95,"[('A', ['5.1.3.2'])]"
1NAL,2.2,X-RAY DIFFRACTION,10.1016/S0969-2126(00)00038-1,['SO4'],"{'1': ['P0A6L4'], '3': ['P0A6L4'], '2': ['P0A6L4'], '4': ['P0A6L4']}","['3', '1', '2', '4']",8081752,P 32 2 1,28-FEB-94,"[('3', ['4.1.3.3']), ('1', ['4.1.3.3']), ('2', ['4.1.3.3']), ('4', ['4.1.3.3'])]"
1NBE,2.6,X-RAY DIFFRACTION,10.1006/JMBI.1998.1923,"['ZN', 'MLT']","{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['A', 'B', 'C', 'D']",9680480,P 3 2 1,25-APR-98,"[('A', ['2.1.3.2']), ('B', ['2.1.3.2']), ('C', ['2.1.3.2']), ('D', ['2.1.3.2'])]"
1NC1,2.0,X-RAY DIFFRACTION,10.1074/JBC.M210836200,['MTH'],"{'A': ['P0AF12'], 'B': ['P0AF12']}","['A', 'B']",12496243,P 21 21 21,04-DEC-02,"[('A', ['3.2.2.9', '3.2.2.16']), ('B', ['3.2.2.9', '3.2.2.16'])]"
1NC3,2.2,X-RAY DIFFRACTION,10.1074/JBC.M210836200,['FMC'],"{'A': ['P0AF12'], 'B': ['P0AF12']}","['A', 'B']",12496243,P 21 21 21,04-DEC-02,"[('A', ['3.2.2.9']), ('B', ['3.2.2.9'])]"
1NCE,2.4,X-RAY DIFFRACTION,10.1093/PROENG/GZG020,"['UMP', 'CB3', 'CXM']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",12702803,P 63,05-DEC-02,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1NEK,2.6,X-RAY DIFFRACTION,10.1126/SCIENCE.1079605,"['OAA', 'SF4', 'EPH', 'F3S', 'FAD', 'CA', 'HEM', 'UQ2', 'CDN', 'FES']","{'A': ['P0AC41'], 'C': ['P69054'], 'B': ['P07014'], 'D': ['P0AC44']}","['D', 'A', 'C', 'B']",12560550,H 3 2,11-DEC-02,"[('A', ['1.3.99.1', '1.3.5.1']), ('B', ['1.3.99.1', '1.3.5.1'])]"
1NEN,2.9,X-RAY DIFFRACTION,10.1126/SCIENCE.1079605,"['OAA', 'SF4', 'EPH', 'F3S', 'FAD', 'CA', 'DNT', 'FES', 'HEM', 'CDN']","{'A': ['P0AC41'], 'C': ['P69054'], 'B': ['P07014'], 'D': ['P0AC44']}","['D', 'A', 'C', 'B']",12560550,H 3 2,11-DEC-02,"[('A', ['1.3.99.1', '1.3.5.1']), ('B', ['1.3.99.1', '1.3.5.1'])]"
1NFS,1.96,X-RAY DIFFRACTION,10.1074/JBC.M212823200,"['MG', 'MN', 'DED']","{'A': ['Q46822'], 'B': ['Q46822']}","['A', 'B']",12540835,P 21 21 21,16-DEC-02,"[('A', ['5.3.3.2']), ('B', ['5.3.3.2'])]"
1NFZ,1.97,X-RAY DIFFRACTION,10.1074/JBC.M212823200,"['EIP', 'MG', 'MN']","{'A': ['Q46822'], 'B': ['Q46822']}","['A', 'B']",12540835,P 21 21 21,16-DEC-02,"[('A', ['5.3.3.2']), ('B', ['5.3.3.2'])]"
1NHT,2.5,X-RAY DIFFRACTION,10.1074/JBC.272.24.15200,"['GDP', 'MG', 'HDA', 'PGS']",{'A': ['P0A7D4']},['A'],9182542,P 32 2 1,12-JAN-97,"[('A', ['6.3.4.4'])]"
1NI9,2.0,X-RAY DIFFRACTION,10.1074/JBC.M808186200,['SO4'],{'A': ['P0A9C9']},['A'],19073594,P 41 21 2,23-DEC-02,
1NJ4,1.9,X-RAY DIFFRACTION,10.1074/JBC.M310177200,,{'A': ['P0AEB2']},['A'],14555648,P 32,30-DEC-02,"[('A', ['3.4.16.4'])]"
1NL5,2.1,X-RAY DIFFRACTION,10.1074/JBC.M301004200,"['ZN', 'MAL']",{'A': ['P0AEX9']},['A'],12794084,P 43 21 2,06-JAN-03,
1NLM,2.5,X-RAY DIFFRACTION,10.1073/PNAS.0235749100,"['GOL', 'UD1']","{'A': ['P17443'], 'B': ['P17443']}","['A', 'B']",12538870,P 21 21 21,07-JAN-03,"[('A', ['2.4.1.-']), ('B', ['2.4.1.-'])]"
1NMU,2.31,X-RAY DIFFRACTION,10.1016/S0022-2836(02)01476-6,['MTT'],"{'A': ['P0AEX9'], 'C': ['P0AEX9'], 'B': ['P14120'], 'D': ['P14120']}","['A', 'C', 'B', 'D']",12589748,P 21 21 21,10-JAN-03,
